contrast;color;bars
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66
high;yellow-blue;132
high;yellow-blue;99
high;yellow-blue;66
low;yellow-blue;132
low;yellow-blue;99
low;yellow-blue;66
high;black-black;132
high;black-black;99
high;black-black;66
low;black-black;132
low;black-black;99
low;black-black;66

